1003236933	20200909	202009	2020	2020.6822	USA	NEW JERSEY	USA								BUS	LANDLORD						BUS			1	020	020	02	1	3.0	10	1	10	-2.99625468164794	3	Atlantic County, New Jersey, United States	US	USNJ	NJ001	39.4668	-74.6663	882270	3	Atlantic County, New Jersey, United States	US	USNJ		39.4668	-74.6663	882270	3	Atlantic County, New Jersey, United States	US	USNJ		39.4668	-74.6663	882270	20210909080000	https://pressofatlanticcity.com/news/our-view-bungled-nj-federal-attempt-to-protect-and-help-tenants-hurts-them-and-landlords/article_6cc5b8c0-0f48-11ec-bb76-535389271c6d.html
1003236934	20210810	202108	2021	2021.6027	COP	DEPUTY						COP			AUS	AUSTRALIA	AUS								0	010	010	01	1	0.0	6	1	6	0.84388185654008	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20210909080000	https://www.sfgate.com/business/article/Australia-won-t-allow-UN-climate-goals-in-UK-free-16445214.php
1003236935	20210810	202108	2021	2021.6027	CVL	COMMUNITY						CVL			USA	UNITED STATES	USA								0	010	010	01	1	0.0	2	1	2	-0.25873221216041	3	Vincennes University, Indiana, United States	US	USIN	IN083	38.6864	-87.5236	445303	3	Vincennes University, Indiana, United States	US	USIN		38.6864	-87.5236	445303	3	Vincennes University, Indiana, United States	US	USIN		38.6864	-87.5236	445303	20210909080000	https://www.suncommercial.com/news/article_a3d2610e-2427-5312-8425-df87eb6e7a06.html
1003236936	20210810	202108	2021	2021.6027	LBN	LEBANESE	LBN																		1	090	090	09	2	-2.0	5	1	5	-5.43478260869565	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	0								4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20210909080000	https://www.thesundaily.my/local/najib-rosmah-lebanese-jeweller-to-inspect-11991-seized-jewellery-next-month-JF8315308
1003236937	20210810	202108	2021	2021.6027	LBN	LEBANESE	LBN								BUS	BANK						BUS			1	090	090	09	2	-2.0	1	1	1	-5.43478260869565	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20210909080000	https://www.thesundaily.my/local/najib-rosmah-lebanese-jeweller-to-inspect-11991-seized-jewellery-next-month-JF8315308
1003236938	20210810	202108	2021	2021.6027	LBN	LEBANESE	LBN								BUS	BANK						BUS			1	090	090	09	2	-2.0	8	1	8	-5.43478260869565	1	Lebanon	LE	LE		33.833333	35.833333	LE	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	1	Lebanon	LE	LE		33.833333	35.833333	LE	20210909080000	https://www.thesundaily.my/local/najib-rosmah-lebanese-jeweller-to-inspect-11991-seized-jewellery-next-month-JF8315308
1003236939	20210810	202108	2021	2021.6027	MYS	KUALA LUMPUR	MYS								BUS	BANK						BUS			1	090	090	09	2	-2.0	1	1	1	-5.43478260869565	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20210909080000	https://www.thesundaily.my/local/najib-rosmah-lebanese-jeweller-to-inspect-11991-seized-jewellery-next-month-JF8315308
1003236940	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA																		0	020	020	02	1	3.0	2	1	2	-0.25873221216041	3	Vincennes University, Indiana, United States	US	USIN	IN083	38.6864	-87.5236	445303	0								3	Vincennes University, Indiana, United States	US	USIN		38.6864	-87.5236	445303	20210909080000	https://www.suncommercial.com/news/article_a3d2610e-2427-5312-8425-df87eb6e7a06.html
1003236941	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA								CVL	COMMUNITY						CVL			0	013	013	01	1	0.4	2	1	2	-0.25873221216041	3	Vincennes University, Indiana, United States	US	USIN	IN083	38.6864	-87.5236	445303	3	Vincennes University, Indiana, United States	US	USIN		38.6864	-87.5236	445303	3	Vincennes University, Indiana, United States	US	USIN		38.6864	-87.5236	445303	20210909080000	https://www.suncommercial.com/news/article_a3d2610e-2427-5312-8425-df87eb6e7a06.html
1003236942	20210908	202109	2021	2021.6795											FRAGOV	FRENCH	FRA					GOV			1	046	046	04	1	7.0	6	1	6	-5.84677419354839	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20210909080000	https://www.mirror.co.uk/tv/tv-news/gmbs-martin-lewis-slams-priti-24942646
