1002428930	20210804	202108	2021	2021.5863	GOV	GOVERNMENT						GOV			REF	REFUGEE						REF			1	075	075	07	2	7.0	8	1	8	-3.78521126760564	4	Walsall, Walsall, United Kingdom	UK	UKO8	40136	52.6	-2	-2610816	4	Walsall, Walsall, United Kingdom	UK	UKO8	40136	52.6	-2	-2610816	4	Walsall, Walsall, United Kingdom	UK	UKO8	40136	52.6	-2	-2610816	20210903174500	https://www.huffingtonpost.co.uk/entry/afghanistan-refugee-programme-funding-government_uk_613223e1e4b04778c0041724
1002428931	20210804	202108	2021	2021.5863	GOV	GOVERNMENT						GOV			REF	REFUGEE						REF			1	075	075	07	2	7.0	2	1	2	-3.78521126760564	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20210903174500	https://www.huffingtonpost.co.uk/entry/afghanistan-refugee-programme-funding-government_uk_613223e1e4b04778c0041724
1002428932	20210804	202108	2021	2021.5863	GOVBUS	SECURITIES AND EXCHANGE COMMISSION						GOV	BUS		BUS	BANK						BUS			0	0331	033	03	1	5.2	4	1	4	0.49668874172186	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20210903174500	https://www.forbes.com/sites/jonathanponciano/2021/09/03/solana-overtakes-dogecoin-ethereum-price-hits-4000/
1002428933	20210804	202108	2021	2021.5863	USA	THE US	USA								AFG	KABUL	AFG								0	073	073	07	2	7.4	8	1	8	0.26385224274406	1	United States	US	US		39.828175	-98.5795	US	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20210903174500	https://www.msn.com/en-ae/news/world/pentagon-chief-lloyd-austin-to-visit-the-gulf-to-discuss-afghanistan/ar-AAO4tw3
1002428934	20210804	202108	2021	2021.5863	USA	THE US	USA								AFG	KABUL	AFG								0	073	073	07	2	7.4	2	1	2	0.26385224274406	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20210903174500	https://www.msn.com/en-ae/news/world/pentagon-chief-lloyd-austin-to-visit-the-gulf-to-discuss-afghanistan/ar-AAO4tw3
1002428935	20210804	202108	2021	2021.5863	USA	THE US	USA								AFG	KABUL	AFG								0	166	166	16	4	-7.0	8	1	8	0.26385224274406	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20210903174500	https://www.msn.com/en-ae/news/world/pentagon-chief-lloyd-austin-to-visit-the-gulf-to-discuss-afghanistan/ar-AAO4tw3
1002428936	20210804	202108	2021	2021.5863	USA	THE US	USA								AFG	KABUL	AFG								0	166	166	16	4	-7.0	2	1	2	0.26385224274406	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20210903174500	https://www.msn.com/en-ae/news/world/pentagon-chief-lloyd-austin-to-visit-the-gulf-to-discuss-afghanistan/ar-AAO4tw3
1002428937	20210827	202108	2021	2021.6493											USA	UNITED STATES	USA								1	010	010	01	1	0.0	8	1	8	1.04311543810848	0								3	Ojai Valley, California, United States	US	USCA		34.4458	-119.27	272773	3	Ojai Valley, California, United States	US	USCA		34.4458	-119.27	272773	20210903174500	https://www.ojaivalleynews.com/?view=article&id=20754:dr-halverson-recommends-covid-19-vaccines-to-save-lives&catid=856
1002428938	20210827	202108	2021	2021.6493											USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	1.04311543810848	0								3	Ventura County, California, United States	US	USCA		34.4667	-119.018	277320	3	Ventura County, California, United States	US	USCA		34.4667	-119.018	277320	20210903174500	https://www.ojaivalleynews.com/?view=article&id=20754:dr-halverson-recommends-covid-19-vaccines-to-save-lives&catid=856
1002428939	20210827	202108	2021	2021.6493											USA	UNITED STATES	USA								1	046	046	04	1	7.0	6	1	6	1.04311543810848	0								3	Ojai Valley, California, United States	US	USCA		34.4458	-119.27	272773	3	Ojai Valley, California, United States	US	USCA		34.4458	-119.27	272773	20210903174500	https://www.ojaivalleynews.com/?view=article&id=20754:dr-halverson-recommends-covid-19-vaccines-to-save-lives&catid=856
1002428940	20210827	202108	2021	2021.6493											USA	UNITED STATES	USA								1	046	046	04	1	7.0	2	1	2	1.04311543810848	0								3	Ojai Valley, California, United States	US	USCA		34.4458	-119.27	272773	3	Ventura County, California, United States	US	USCA		34.4667	-119.018	277320	20210903174500	https://www.ojaivalleynews.com/?view=article&id=20754:dr-halverson-recommends-covid-19-vaccines-to-save-lives&catid=856
1002428941	20210827	202108	2021	2021.6493											USA	UNITED STATES	USA								1	046	046	04	1	7.0	2	1	2	1.04311543810848	0								3	Ventura County, California, United States	US	USCA		34.4667	-119.018	277320	3	Ojai Valley, California, United States	US	USCA		34.4458	-119.27	272773	20210903174500	https://www.ojaivalleynews.com/?view=article&id=20754:dr-halverson-recommends-covid-19-vaccines-to-save-lives&catid=856
1002428942	20210827	202108	2021	2021.6493											USA	MAINE	USA								1	173	173	17	4	-5.0	1	1	1	-16.3265306122449	0								2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	20210903174500	https://kvoa.com/ap-arizona-news/2021/09/03/maine-guard-soldier-accused-of-sexually-abusing-colleague/
1002428943	20210827	202108	2021	2021.6493											USA	MAINE	USA								1	181	181	18	4	-9.0	1	1	1	-16.3265306122449	0								2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	20210903174500	https://kvoa.com/ap-arizona-news/2021/09/03/maine-guard-soldier-accused-of-sexually-abusing-colleague/
1002428944	20210827	202108	2021	2021.6493	GBR	UNITED KINGDOM	GBR								EDU	SCHOOL						EDU			0	013	013	01	1	0.4	2	1	2	-3.88235294117647	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	20210903174500	https://www.belfastlive.co.uk/news/northern-ireland/teaching-union-chief-slams-conflicting-21473255
1002428945	20210827	202108	2021	2021.6493	GOV	PRIME MINISTER						GOV			USA	AMERICAN	USA								0	036	036	03	1	4.0	1	1	1	-3.63636363636363	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United States	US	US		39.828175	-98.5795	US	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20210903174500	https://www.jewishpress.com/news/eye-on-palestine/israel-again-making-concessions-to-gaza-terror-rulers/2021/09/01/
1002428946	20210827	202108	2021	2021.6493	ISRGOV	ISRAEL	ISR					GOV			USA	AMERICAN	USA								0	036	036	03	1	4.0	1	1	1	-3.63636363636363	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	United States	US	US		39.828175	-98.5795	US	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20210903174500	https://www.jewishpress.com/news/eye-on-palestine/israel-again-making-concessions-to-gaza-terror-rulers/2021/09/01/
1002428947	20210827	202108	2021	2021.6493	JUD	SUPREME COURT						JUD			MEX	MEXICO	MEX								1	050	050	05	1	3.5	10	1	10	-6.75477239353892	4	Tijuana, Baja California, Mexico	MX	MX02	19588	32.5333	-117.017	-1705741	4	Tijuana, Baja California, Mexico	MX	MX02	19588	32.5333	-117.017	-1705741	4	Tijuana, Baja California, Mexico	MX	MX02	19588	32.5333	-117.017	-1705741	20210903174500	https://hotair.com/karen-townsend/2021/09/03/federal-judge-strikes-down-obama-policy-of-making-asylum-seekers-wait-in-mexico-n413560
1002428948	20210827	202108	2021	2021.6493	USA	UNITED STATES	USA																		1	010	010	01	1	0.0	2	1	2	1.04311543810848	3	Ojai Valley, California, United States	US	USCA	CA111	34.4458	-119.27	272773	0								3	Ventura County, California, United States	US	USCA		34.4667	-119.018	277320	20210903174500	https://www.ojaivalleynews.com/?view=article&id=20754:dr-halverson-recommends-covid-19-vaccines-to-save-lives&catid=856
